player,season,pos,player_id,g,x3pa_per_game,x2pa_per_game,team,e_fg_percent,fga_per_game,x3p_percent,orb_per_game,x2p_percent,ft_percent,fg_percent,drb_percent,orb_percent,blk_percent,obpm,usg_percent,ast_percent,trb_percent,stl_percent,tov_percent,x3p_ar,ts_percent,f_tr,shooting_foul_committed,points_generated_by_assists,offensive_foul_drawn,and1,shooting_foul_drawn,fga_blocked,bad_pass_turnover,lost_ball_turnover,offensive_foul_committed
Charles Jones,1997,PF,jonesch01,12,0.0,0.4,HOU,0.4,0.4,,0.4,0.4,,0.4,9.5,6.6,3.2,-2.7,2.4,4.3,8.1,1.1,0.0,0.0,0.4,0.0,6,8,,0,0,0,0,0,0
Charles Oakley,1997,PF,oaklech01,80,0.2,8.4,NYK,0.492,8.7,0.263,3.1,0.495,0.808,0.488,21.6,10.6,0.6,-0.4,15.4,12.7,16.3,2.0,17.7,0.027,0.545,0.323,154,491,,19,77,23,105,15,13
Charles Smith,1997,PF,smithch01,19,0.1,4.4,SAS,0.405,4.4,0.0,0.9,0.41,0.769,0.405,17.7,6.3,5.3,-5.0,16.6,6.9,11.8,2.2,18.7,0.012,0.461,0.31,25,16,,0,9,6,9,1,6
Charlie Ward,1997,PG,wardch01,79,1.9,2.3,NYK,0.466,4.3,0.312,0.6,0.464,0.76,0.395,11.5,3.2,0.7,-1.8,14.1,28.4,7.5,2.5,27.3,0.457,0.522,0.371,80,725,,11,33,15,100,22,5
Cherokee Parks,1997,PF,parksch02,76,0.0,2.6,MIN,0.51,2.7,0.0,1.1,0.512,0.605,0.51,13.7,10.3,3.8,-2.5,12.7,5.6,12.0,2.3,12.0,0.005,0.535,0.376,70,74,,12,35,13,12,4,8
Chris Carr,1997,SG,carrch01,55,1.6,3.3,MIN,0.518,4.9,0.352,0.6,0.514,0.767,0.461,11.6,4.4,0.9,-0.6,18.8,9.8,8.0,1.5,10.9,0.325,0.556,0.269,46,101,,3,26,23,18,4,6
Chris Childs,1997,PG,childch01,65,2.8,5.1,NYK,0.482,7.8,0.387,0.3,0.429,0.758,0.414,9.4,1.3,0.4,-1.4,16.8,30.7,5.5,2.0,23.8,0.355,0.526,0.292,70,865,,4,30,17,97,27,17
Chris Dudley,1997,C,dudlech02,81,0.0,3.6,POR,0.43,3.6,,2.5,0.43,0.474,0.43,24.4,13.5,4.0,-2.9,10.6,3.2,19.1,1.1,18.5,0.0,0.449,0.468,133,96,,9,48,18,19,14,9
Chris Gatling,1997,PF,gatlich01,47,0.1,13.1,2TM,0.526,13.3,0.167,2.9,0.528,0.717,0.525,21.7,11.9,1.9,2.5,31.7,4.7,16.7,1.6,13.5,0.01,0.58,0.528,43,63,,34,133,38,53,8,26
Chris Gatling,1997,PF,gatlich01,44,0.1,13.0,DAL,0.534,13.2,0.167,2.9,0.537,0.706,0.533,22.0,12.1,2.1,2.7,32.1,4.7,17.0,1.6,13.7,0.01,0.585,0.54,35,56,,32,125,35,51,7,24
Chris Gatling,1997,PF,gatlich01,3,0.0,14.3,NJN,0.419,14.3,,2.7,0.419,0.938,0.419,17.5,8.9,0.0,-0.6,26.0,5.8,12.9,2.3,10.7,0.0,0.51,0.372,8,7,,2,8,3,2,1,2
Chris Jent,1997,SF,jentch01,3,1.0,1.0,NYK,0.5,2.0,0.667,0.3,0.0,,0.333,0.0,12.4,0.0,3.8,27.6,19.0,6.0,0.0,0.0,0.5,0.5,0.0,2,2,,0,0,0,0,0,0
Chris Mills,1997,SF,millsch01,80,2.8,8.4,CLE,0.501,11.2,0.391,1.5,0.473,0.842,0.453,15.8,4.8,1.2,0.3,17.5,11.3,10.2,1.6,10.9,0.246,0.544,0.234,80,440,,13,74,46,59,21,14
Chris Morris,1997,SF,morrich01,73,1.5,2.5,UTA,0.46,4.1,0.274,0.5,0.489,0.722,0.408,15.1,5.0,2.1,-2.6,17.5,6.6,10.3,1.6,12.2,0.378,0.486,0.181,54,38,,8,28,16,28,3,6
Chris Mullin,1997,SF,mullich01,79,2.6,7.5,GSW,0.605,10.0,0.411,0.9,0.602,0.864,0.553,10.5,3.3,0.9,2.4,17.6,19.9,6.9,2.5,17.8,0.255,0.645,0.269,68,704,,21,74,29,129,36,12
